	Organism	Txid	Temp	OGT	Source	Features
510	Lactobacillus plantarum JDM1	['644042']	['15', '45']		https://en.wikipedia.org/wiki/Lactobacillus_plantarum	
511	Lactobacillus plantarum subsp. plantarum	0	['15', '45']		https://en.wikipedia.org/wiki/Lactobacillus_plantarum	
512	Lactobacillus plantarum subsp. plantarum P-8	['767468']	['15', '45']		https://en.wikipedia.org/wiki/Lactobacillus_plantarum	
513	Lactobacillus plantarum subsp. plantarum ST-III	['889932']	['15', '45']		https://en.wikipedia.org/wiki/Lactobacillus_plantarum	
514	Lactobacillus plantarum WCFS1	['220668']	['15', '45']		https://en.wikipedia.org/wiki/Lactobacillus_plantarum	
515	Lactobacillus plantarum ZJ316	['1284663']	['15', '45']		https://en.wikipedia.org/wiki/Lactobacillus_plantarum	
516	Lactobacillus sanfranciscensis TMW 1.1304	['714313']	['33', '41', '27', '36']		https://en.wikipedia.org/wiki/Lactobacillus_sanfranciscensis	
517	Lactococcus garvieae	0	['45', '37', '30', '18', '18', '15', '16']		https://en.wikipedia.org/wiki/Lactococcus_garvieae	
518	Lactococcus garvieae ATCC 49156	['420889']	['45', '37', '30', '18', '18', '15', '16']		https://en.wikipedia.org/wiki/Lactococcus_garvieae	
519	Lactococcus garvieae Lg2	['420890']	['45', '37', '30', '18', '18', '15', '16']		https://en.wikipedia.org/wiki/Lactococcus_garvieae	
520	Legionella clemsonensis	['1867846']	['45', '26', '45', '63', '37', '26']		https://en.wikipedia.org/wiki/Legionella_clemsonensis	
521	Leptospirillum ferriphilum ML-04	['1048260']	['40']		https://en.wikipedia.org/wiki/Leptospirillum_ferriphilum	
522	Leptospirillum ferriphilum YSK	['1441628']	['40']		https://en.wikipedia.org/wiki/Leptospirillum_ferriphilum	
523	Listeria monocytogenes	0	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
524	Listeria monocytogenes 07PF0776	['1126011']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
525	Listeria monocytogenes 08-5578	['653938']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
526	Listeria monocytogenes 08-5923	['637381']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
527	Listeria monocytogenes 10403S	['393133']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
528	Listeria monocytogenes 6179	['1288295']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
529	Listeria monocytogenes ATCC 19117	['882095']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
530	Listeria monocytogenes EGD	['1334565']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
531	Listeria monocytogenes EGD-e	['169963']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
532	Listeria monocytogenes Finland 1998	['393127']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
533	Listeria monocytogenes FSL R2-561	['393126']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
534	Listeria monocytogenes HCC23	['552536']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
535	Listeria monocytogenes J0161	['393130']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
536	Listeria monocytogenes J1-220	['930782']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
537	Listeria monocytogenes J1816	['930781']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
538	Listeria monocytogenes L312	['882094']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
539	Listeria monocytogenes L99	['563174']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
540	Listeria monocytogenes M7	['1030009']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
541	Listeria monocytogenes R479a	['1437838']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
542	Listeria monocytogenes serotype 1/2a str. 02-5993	['1196180']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
543	Listeria monocytogenes serotype 1/2a str. 04-5457	['1196181']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
544	Listeria monocytogenes serotype 1/2a str. 08-6056	['1196182']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
545	Listeria monocytogenes serotype 1/2a str. 08-6569	['1196183']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
546	Listeria monocytogenes serotype 1/2a str. 08-6997	['1196184']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
547	Listeria monocytogenes serotype 1/2a str. 08-7374	['1196185']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
548	Listeria monocytogenes serotype 1/2a str. 08-7669	['1196186']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
549	Listeria monocytogenes serotype 1/2a str. 10-0812	['1196165']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
550	Listeria monocytogenes serotype 1/2a str. 10-0813	['1196166']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
551	Listeria monocytogenes serotype 1/2a str. 10-0814	['1196187']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
552	Listeria monocytogenes serotype 1/2a str. 10-0815	['1196188']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
553	Listeria monocytogenes serotype 1/2a str. 10-0933	['1196169']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
554	Listeria monocytogenes serotype 1/2a str. 10-0934	['1196170']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
555	Listeria monocytogenes serotype 1/2a str. 10-1046	['1196189']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
556	Listeria monocytogenes serotype 1/2a str. 10-1047	['1196190']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
557	Listeria monocytogenes serotype 1/2a str. 10-1321	['1196191']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
558	Listeria monocytogenes serotype 1/2a str. 10-4754	['1196167']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
559	Listeria monocytogenes serotype 1/2a str. 10-4758	['1196168']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
560	Listeria monocytogenes serotype 1/2a str. 10-5024	['1196192']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
561	Listeria monocytogenes serotype 1/2a str. 88-0478	['1196176']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
562	Listeria monocytogenes serotype 1/2a str. 95-0093	['1196177']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
563	Listeria monocytogenes serotype 1/2a str. 98-2035	['1196178']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
564	Listeria monocytogenes serotype 1/2a str. 99-6370	['1196179']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
565	Listeria monocytogenes serotype 1/2b str. 10-0810	['1196163']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
566	Listeria monocytogenes serotype 1/2b str. 10-0811	['1196164']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
567	Listeria monocytogenes serotype 1/2c str. 10-5025	['1196193']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
568	Listeria monocytogenes serotype 1/2c str. 10-5026	['1196194']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
569	Listeria monocytogenes serotype 3c str. 10-5027	['1196195']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
570	Listeria monocytogenes serotype 4b str. 02-1103	['1196171']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
571	Listeria monocytogenes serotype 4b str. 02-1289	['1196172']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
572	Listeria monocytogenes serotype 4b str. 02-1792	['1196173']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
573	Listeria monocytogenes serotype 4b str. 02-6679	['1196174']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
574	Listeria monocytogenes serotype 4b str. 02-6680	['1196175']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
575	Listeria monocytogenes serotype 4b str. 10-0809	['1196162']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
576	Listeria monocytogenes serotype 4b str. 81-0558	['1196159']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
577	Listeria monocytogenes serotype 4b str. 81-0592	['1196160']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
578	Listeria monocytogenes serotype 4b str. 81-0861	['1196161']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
579	Listeria monocytogenes serotype 4b str. CLIP 80459	['568819']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
580	Listeria monocytogenes serotype 4b str. F2365	['265669']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
581	Listeria monocytogenes serotype 4b str. LL195	['1230340']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
582	Listeria monocytogenes SLCC2372	['932920']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
583	Listeria monocytogenes SLCC2376	['882097']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
584	Listeria monocytogenes SLCC2378	['879088']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
585	Listeria monocytogenes SLCC2479	['882020']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
586	Listeria monocytogenes SLCC2540	['879089']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
587	Listeria monocytogenes SLCC2755	['932919']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
588	Listeria monocytogenes SLCC5850	['882096']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
589	Listeria monocytogenes SLCC7179	['879090']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
590	Listeria monocytogenes WSLC1001	['1457187']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
591	Listeria monocytogenes WSLC1042	['1457188']	['30', '37', '25', '37']		https://en.wikipedia.org/wiki/Listeria_monocytogenes	
592	Methanococcoides burtonii DSM 6242	['259564']	['23', '29', '23', '23', '23']		https://en.wikipedia.org/wiki/Methanococcoides_burtonii	
593	Methanocorpusculum labreanum Z	['410358']	['40']		https://en.wikipedia.org/wiki/Methanocorpusculum_labreanum	
594	Methanosarcina horonobensis HB-1 = JCM 15518	['1434110']	['35', '55']		https://en.wikipedia.org/wiki/Methanosarcina_horonobensis	
595	Methanosarcina lacustris Z-7289	['1434111']	['35', '55']		https://en.wikipedia.org/wiki/Methanosarcina_lacustris	
596	Methanosarcina mazei C16	['1434113']	['35', '55']		https://en.wikipedia.org/wiki/Methanosarcina_mazei	
597	Methanosarcina mazei Go1	['192952']	['35', '55']		https://en.wikipedia.org/wiki/Methanosarcina_mazei	
598	Methanosarcina mazei LYC	['1434114']	['35', '55']		https://en.wikipedia.org/wiki/Methanosarcina_mazei	
599	Methanosarcina mazei S-6	['213585']	['35', '55']		https://en.wikipedia.org/wiki/Methanosarcina_mazei	
600	Methanosarcina mazei SarPi	['1434115']	['35', '55']		https://en.wikipedia.org/wiki/Methanosarcina_mazei	
601	Methanosarcina mazei WWM610	['1434117']	['35', '55']		https://en.wikipedia.org/wiki/Methanosarcina_mazei	
602	Methanosarcina siciliae C2J	['1434118']	['35', '55']		https://en.wikipedia.org/wiki/Methanosarcina_siciliae	
603	Methanosarcina siciliae T4/M	['1434120']	['35', '55']		https://en.wikipedia.org/wiki/Methanosarcina_siciliae	
604	Methanosarcina vacuolata Z-761	['1434123']	['35', '55']		https://en.wikipedia.org/wiki/Methanosarcina_vacuolata	
605	Methanothermobacter thermautotrophicus str. Delta H	['187420']	['55', '65']		https://en.wikipedia.org/wiki/Methanothermobacter_thermautotrophicus	
606	Methanothermobacter wolfeii	['145261']	['55', '65']		https://en.wikipedia.org/wiki/Methanothermobacter_wolfeii	
607	Methanothermococcus okinawensis IH1	['647113']	['65']		https://en.wikipedia.org/wiki/Methanothermococcus_okinawensis	
608	Methanothermus fervidus DSM 2088	['523846']	['97']		https://en.wikipedia.org/wiki/Methanothermus_fervidus	
609	Methylacidiphilum fumariolicum SolV	['1156937']	['50', '60']		https://en.wikipedia.org/wiki/Methylacidiphilum_fumariolicum	
610	Methylacidiphilum infernorum V4	['481448']	['60']		https://en.wikipedia.org/wiki/Methylacidiphilum_infernorum	
611	Methylococcus capsulatus str. Bath	['243233']	['50', '37']		https://en.wikipedia.org/wiki/Methylococcus_capsulatus	
612	Microcystis aeruginosa NIES-2481	['1698524']	['32', '20', '28', '15']		https://en.wikipedia.org/wiki/Microcystis_aeruginosa	
613	Microcystis aeruginosa NIES-2549	['1641812']	['32', '20', '28', '15']		https://en.wikipedia.org/wiki/Microcystis_aeruginosa	
614	Microcystis aeruginosa NIES-843	['449447']	['32', '20', '28', '15']		https://en.wikipedia.org/wiki/Microcystis_aeruginosa	
615	Microcystis aeruginosa PCC 7806SL	['1903187']	['32', '20', '28', '15']		https://en.wikipedia.org/wiki/Microcystis_aeruginosa	
616	Moraxella catarrhalis	0	['37']		https://en.wikipedia.org/wiki/Moraxella_catarrhalis	
617	Moraxella catarrhalis BBH18	['1236608']	['37']		https://en.wikipedia.org/wiki/Moraxella_catarrhalis	
618	Morganella morganii	0	['30']		https://en.wikipedia.org/wiki/Morganella_morganii	
619	Morganella morganii subsp. morganii KT	['1124991']	['30']		https://en.wikipedia.org/wiki/Morganella_morganii	
620	Mycobacterium abscessus	0	['28', '37', '43', '28', '37']		https://en.wikipedia.org/wiki/Mycobacterium_abscessus	
621	Mycobacterium abscessus subsp. abscessus	['1185650']	['28', '37', '43', '28', '37']		https://en.wikipedia.org/wiki/Mycobacterium_abscessus	
622	Mycobacterium abscessus subsp. bolletii	0	['28', '37', '43', '28', '37']		https://en.wikipedia.org/wiki/Mycobacterium_abscessus	
623	Mycobacterium abscessus subsp. bolletii 103	['1299325']	['28', '37', '43', '28', '37']		https://en.wikipedia.org/wiki/Mycobacterium_abscessus	
624	Mycobacterium abscessus subsp. bolletii 50594	404ERROR	['28', '37', '43', '28', '37']		https://en.wikipedia.org/wiki/Mycobacterium_abscessus	
625	Mycobacterium abscessus subsp. massiliense	0	['28', '37', '43', '28', '37']		https://en.wikipedia.org/wiki/Mycobacterium_abscessus	
626	Mycobacterium abscessus subsp. massiliense CCUG 48898 = JCM 15300	['1001714']	['28', '37', '43', '28', '37']		https://en.wikipedia.org/wiki/Mycobacterium_abscessus	
627	Mycobacterium abscessus subsp. massiliense str. GO 06	['1198627']	['28', '37', '43', '28', '37']		https://en.wikipedia.org/wiki/Mycobacterium_abscessus	
628	Mycobacterium abscessus UC22	['1132508']	['28', '37', '43', '28', '37']		https://en.wikipedia.org/wiki/Mycobacterium_abscessus	
629	Mycobacterium fortuitum	0	['45']		https://en.wikipedia.org/wiki/Mycobacterium_fortuitum	
630	Mycobacterium gilvum PYR-GCK	['350054']	['37', '45']		https://en.wikipedia.org/wiki/Mycobacterium_gilvum	
631	Mycobacterium gilvum Spyr1	['278137']	['37', '45']		https://en.wikipedia.org/wiki/Mycobacterium_gilvum	
632	Mycobacterium goodii	['134601']	['30', '35', '45']		https://en.wikipedia.org/wiki/Mycobacterium_goodii	
633	Mycobacterium haemophilum DSM 44634	['1202450']	['32', '25', '35', '37']		https://en.wikipedia.org/wiki/Mycobacterium_haemophilum	
634	Mycobacterium liflandii 128FXT	['459424']	['28', '35']		https://en.wikipedia.org/wiki/Mycobacterium_liflandii	
635	Mycobacterium marinum E11	['1131442']	['37', '33', '37']		https://en.wikipedia.org/wiki/Mycobacterium_marinum	
636	Mycobacterium marinum M	['216594']	['37', '33', '37']		https://en.wikipedia.org/wiki/Mycobacterium_marinum	
637	Mycobacterium phlei	0	['28', '52']		https://en.wikipedia.org/wiki/Mycobacterium_phlei	
638	Mycobacterium sp. djl-10	['1879023']	['25', '50']		https://en.wikipedia.org/wiki/Mycobacterium_sp.	
639	Mycobacterium sp. EPa45	['1545728']	['25', '50']		https://en.wikipedia.org/wiki/Mycobacterium_sp.	
640	Mycobacterium sp. JLS	['164757']	['25', '50']		https://en.wikipedia.org/wiki/Mycobacterium_sp.	
641	Mycobacterium sp. JS623	['212767']	['25', '50']		https://en.wikipedia.org/wiki/Mycobacterium_sp.	
642	Mycobacterium sp. KMS	['189918']	['25', '50']		https://en.wikipedia.org/wiki/Mycobacterium_sp.	
643	Mycobacterium sp. MCS	['164756']	['25', '50']		https://en.wikipedia.org/wiki/Mycobacterium_sp.	
644	Mycobacterium sp. MOTT36Y	['1168287']	['25', '50']		https://en.wikipedia.org/wiki/Mycobacterium_sp.	
645	Mycobacterium sp. NRRL B-3805	['1570328']	['25', '50']		https://en.wikipedia.org/wiki/Mycobacterium_sp.	
646	Mycobacterium sp. PYR15	['2051552']	['25', '50']		https://en.wikipedia.org/wiki/Mycobacterium_sp.	
647	Mycobacterium sp. QIA-37	['1561223']	['25', '50']		https://en.wikipedia.org/wiki/Mycobacterium_sp.	
648	Mycobacterium sp. VKM Ac-1817D	['1273687']	['25', '50']		https://en.wikipedia.org/wiki/Mycobacterium_sp.	
649	Mycobacterium sp. WY10	['1920667']	['25', '50']		https://en.wikipedia.org/wiki/Mycobacterium_sp.	
650	Mycobacterium sp. YC-RL4	['1682113']	['25', '50']		https://en.wikipedia.org/wiki/Mycobacterium_sp.	
651	Mycobacterium ulcerans Agy99	['362242']	['33', '33']		https://en.wikipedia.org/wiki/Mycobacterium_ulcerans	
652	Mycobacterium ulcerans subsp. shinshuense	['1124626']	['33', '33']		https://en.wikipedia.org/wiki/Mycobacterium_ulcerans	
653	Mycobacterium vanbaalenii PYR-1	['350058']	['37', '42']		https://en.wikipedia.org/wiki/Mycobacterium_vanbaalenii	
654	Mycoplasma bovis	0	['40']		https://en.wikipedia.org/wiki/Mycoplasma_bovis	
655	Mycoplasma bovis CQ-W70	['1316930']	['40']		https://en.wikipedia.org/wiki/Mycoplasma_bovis	
656	Mycoplasma bovis HB0801	['767465']	['40']		https://en.wikipedia.org/wiki/Mycoplasma_bovis	
657	Mycoplasma bovis Hubei-1	['956483']	['40']		https://en.wikipedia.org/wiki/Mycoplasma_bovis	
658	Mycoplasma bovis PG45	['289397']	['40']		https://en.wikipedia.org/wiki/Mycoplasma_bovis	
659	Natronococcus occultus SP4	['694430']	['50', '40']		https://en.wikipedia.org/wiki/Natronococcus_occultus	
660	Nautilia profundicola AmH	['598659']	['55', '80', '22']		https://en.wikipedia.org/wiki/Nautilia_profundicola	
661	Nitrospira moscoviensis	['42253']	['39', '40']		https://en.wikipedia.org/wiki/Nitrospira_moscoviensis	
662	Oleispira antarctica RB-8	['698738']	['25']		https://en.wikipedia.org/wiki/Oleispira_antarctica	
663	Pasteurella multocida	0	['37', '18']		https://en.wikipedia.org/wiki/Pasteurella_multocida	
664	Pasteurella multocida 36950	['1075089']	['37', '18']		https://en.wikipedia.org/wiki/Pasteurella_multocida	
665	Pasteurella multocida OH1905	['1304890']	['37', '18']		https://en.wikipedia.org/wiki/Pasteurella_multocida	
666	Pasteurella multocida subsp. multocida	0	['37', '18']		https://en.wikipedia.org/wiki/Pasteurella_multocida	
667	Pasteurella multocida subsp. multocida HB01	['1339255']	['37', '18']		https://en.wikipedia.org/wiki/Pasteurella_multocida	
668	Pasteurella multocida subsp. multocida OH4807	['1304873']	['37', '18']		https://en.wikipedia.org/wiki/Pasteurella_multocida	
669	Pasteurella multocida subsp. multocida PMTB2.1	['1455592']	['37', '18']		https://en.wikipedia.org/wiki/Pasteurella_multocida	
670	Pasteurella multocida subsp. multocida str. 3480	['584721']	['37', '18']		https://en.wikipedia.org/wiki/Pasteurella_multocida	
671	Pasteurella multocida subsp. multocida str. HB03	['1147130']	['37', '18']		https://en.wikipedia.org/wiki/Pasteurella_multocida	
672	Pasteurella multocida subsp. multocida str. HN06	['1132496']	['37', '18']		https://en.wikipedia.org/wiki/Pasteurella_multocida	
673	Pasteurella multocida subsp. multocida str. HN07	['1436299']	['37', '18']		https://en.wikipedia.org/wiki/Pasteurella_multocida	
674	Pasteurella multocida subsp. multocida str. Pm70	['272843']	['37', '18']		https://en.wikipedia.org/wiki/Pasteurella_multocida	
675	Pectobacterium carotovorum	0	['30']		https://en.wikipedia.org/wiki/Pectobacterium_carotovorum	
676	Pectobacterium carotovorum subsp. brasiliense	0	['30']		https://en.wikipedia.org/wiki/Pectobacterium_carotovorum	
677	Pectobacterium carotovorum subsp. carotovorum PC1	['561230']	['30']		https://en.wikipedia.org/wiki/Pectobacterium_carotovorum	
678	Pectobacterium carotovorum subsp. carotovorum PCC21	['1218933']	['30']		https://en.wikipedia.org/wiki/Pectobacterium_carotovorum	
679	Pediococcus acidilactici	0	['45', '65']		https://en.wikipedia.org/wiki/Pediococcus_acidilactici	
680	Persephonella marina EX-H1	['123214']	['133', '170']		https://en.wikipedia.org/wiki/Persephonella_marina	
681	Photobacterium profundum SS9	['298386']	['25', '15', '10']		https://en.wikipedia.org/wiki/Photobacterium_profundum	
682	Prochlorococcus marinus str. AS9601	['146891']	['33']		https://en.wikipedia.org/wiki/Prochlorococcus_marinus	
683	Prochlorococcus marinus str. MIT 9215	['93060']	['33']		https://en.wikipedia.org/wiki/Prochlorococcus_marinus	
684	Prochlorococcus marinus str. MIT 9301	['167546']	['33']		https://en.wikipedia.org/wiki/Prochlorococcus_marinus	
685	Prochlorococcus marinus str. MIT 9312	['74546']	['33']		https://en.wikipedia.org/wiki/Prochlorococcus_marinus	
686	Prochlorococcus marinus str. MIT 9313	['74547']	['33']		https://en.wikipedia.org/wiki/Prochlorococcus_marinus	
687	Prochlorococcus marinus str. MIT 9515	['167542']	['33']		https://en.wikipedia.org/wiki/Prochlorococcus_marinus	
688	Prochlorococcus marinus str. NATL1A	['167555']	['33']		https://en.wikipedia.org/wiki/Prochlorococcus_marinus	
689	Prochlorococcus marinus str. NATL2A	['59920']	['33']		https://en.wikipedia.org/wiki/Prochlorococcus_marinus	
690	Prochlorococcus marinus subsp. marinus str. CCMP1375	['167539']	['33']		https://en.wikipedia.org/wiki/Prochlorococcus_marinus	
691	Prochlorococcus marinus subsp. pastoris str. CCMP1986	['59919']	['33']		https://en.wikipedia.org/wiki/Prochlorococcus_marinus	
692	Proteus vulgaris	0	['40']		https://en.wikipedia.org/wiki/Proteus_vulgaris	
693	Providencia rettgeri	0	['37']		https://en.wikipedia.org/wiki/Providencia_rettgeri	
694	Providencia stuartii	0	['37']		https://en.wikipedia.org/wiki/Providencia_stuartii	
695	Providencia stuartii MRSN 2154	['1157951']	['37']		https://en.wikipedia.org/wiki/Providencia_stuartii	
696	Pseudomonas aeruginosa	0	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
697	Pseudomonas aeruginosa B136-33	['1280938']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
698	Pseudomonas aeruginosa C-NN2	['910265']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
699	Pseudomonas aeruginosa DHS01	['1411700']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
700	Pseudomonas aeruginosa DK1	['1356855']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
701	Pseudomonas aeruginosa DK2	['1093787']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
702	Pseudomonas aeruginosa DSM 50071 = NBRC 12689	['1123015']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
703	Pseudomonas aeruginosa LES431	['1408272']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
704	Pseudomonas aeruginosa LESB58	['557722']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
705	Pseudomonas aeruginosa M18	['941193']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
706	Pseudomonas aeruginosa MTB-1	['1415629']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
707	Pseudomonas aeruginosa NCGM2.S1	['1089456']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
708	Pseudomonas aeruginosa PA1	['1279007']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
709	Pseudomonas aeruginosa PA1R	['1279008']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
710	Pseudomonas aeruginosa PA7	['381754']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
711	Pseudomonas aeruginosa PAK	['1009714']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
712	Pseudomonas aeruginosa PAO1	0	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
713	Pseudomonas aeruginosa RP73	['1340851']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
714	Pseudomonas aeruginosa SCV20265	['1427342']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
715	Pseudomonas aeruginosa SJTD-1	['1193501']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
716	Pseudomonas aeruginosa UCBPP-PA14	['208963']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
717	Pseudomonas aeruginosa VRFPA04	['1400868']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
718	Pseudomonas aeruginosa YL84	['1448140']	['42', '42']		https://en.wikipedia.org/wiki/Pseudomonas_aeruginosa	
719	Pseudomonas fragi	0	['30', '35']		https://en.wikipedia.org/wiki/Pseudomonas_fragi	
720	Pseudomonas protegens	0	['36']		https://en.wikipedia.org/wiki/Pseudomonas_protegens	
721	Pseudomonas protegens Cab57	['1420599']	['36']		https://en.wikipedia.org/wiki/Pseudomonas_protegens	
722	Pseudomonas protegens CHA0	['1124983']	['36']		https://en.wikipedia.org/wiki/Pseudomonas_protegens	
723	Pseudomonas protegens Pf-5	['220664']	['36']		https://en.wikipedia.org/wiki/Pseudomonas_protegens	
724	Pseudomonas viridiflava	0	['12']		https://en.wikipedia.org/wiki/Pseudomonas_viridiflava	
725	Pyrobaculum islandicum DSM 4184	['384616']	['104', '100']		https://en.wikipedia.org/wiki/Pyrobaculum_islandicum	
